1 1:0.500300 2:0.253600 3:1.001900 4:0.131000 5:1.054300 6:0.253100 7:0.893500 8:0.260800 9:1.017600 10:0.317200 11:0.982200 12:0.156600
1 1:0.576400 2:0.303200 3:0.957700 4:0.412000 5:0.967300 6:0.615300 7:0.935200 8:0.439200 9:0.975200 10:0.631400 11:0.757200 12:0.648000
1 1:0.044100 2:0.556600 3:0.263600 4:0.639400 5:0.375500 6:0.636000 7:0.239800 8:0.663800 9:0.253700 10:0.797400 11:0.293600 12:0.603000
1 1:0.104400 2:0.848200 3:0.278600 4:1.196100 5:0.318700 6:1.361100 7:0.288100 8:1.186100 9:0.255100 10:1.462000 11:0.216600 12:1.271600
1 1:0.529800 2:0.064200 3:0.682400 4:0.278800 5:0.787000 6:0.305400 7:0.648900 8:0.320600 9:0.853700 10:0.245300 11:0.716700 12:0.238700
1 1:0.595100 2:0.487700 3:0.818600 4:0.897300 5:0.896100 6:1.057700 7:0.630500 8:1.118100 9:0.832200 10:1.168700 11:0.757900 12:0.970200
1 1:0.484000 2:0.209400 3:0.749100 4:0.347900 5:0.919800 6:0.313400 7:0.756500 8:0.336200 9:0.793400 10:0.476800 11:0.699100 12:0.402000
1 1:0.324900 2:0.234400 3:0.529100 4:0.344000 5:0.539000 6:0.464400 7:0.653100 8:0.194100 9:0.593500 10:0.414100 11:0.511200 12:0.363200
1 1:0.366300 2:0.533900 3:0.471600 4:0.960200 5:0.507900 6:1.127100 7:0.536300 8:0.886700 9:0.559500 10:1.094100 11:0.560600 12:0.859600
1 1:0.179800 2:0.287100 3:0.308500 4:0.419700 5:0.360300 6:0.464500 7:0.250700 8:0.486300 9:0.340000 10:0.503000 11:0.342600 12:0.377600
1 1:0.095700 2:0.297400 3:0.406200 4:0.163500 5:0.460700 6:0.181200 7:0.399600 8:0.167200 9:0.482100 10:0.168300 11:0.329600 12:0.254600
1 1:0.030900 2:0.917200 3:0.030800 4:1.457100 5:0.192200 6:1.471700 7:0.041100 8:1.445200 9:0.106300 10:1.599500 11:0.074900 12:1.411300
1 1:0.578200 2:0.006300 3:0.961700 4:-0.060700 5:1.034800 6:0.004300 7:0.905300 8:0.007600 9:1.051300 10:0.002400 11:1.007700 12:-0.115800
1 1:0.227300 2:0.730100 3:0.360100 4:1.140200 5:0.385300 6:1.328900 7:0.307200 8:1.205700 9:0.455100 10:1.270000 11:0.304300 12:1.206400
